category,sub_category,crimeaditionalinfo
Online Financial Fraud,UPI Related Frauds,"FRAUD THROUGH   UPI FRAUD PHONEPE
BANK    Bank of Baroda Including Vijaya Bank and Dena Bank	
ACCOUNT NO   



TOTAL AMOUNT  

PLEASE HOLD REVERSE TOTAL AMOUNT IN THE 
COMPLAINT ACCOUNT AND TAKE NECESSARY ACTION"
Online Financial Fraud,Fraud CallVishing,"Somebody from this number  has been asking for money by texting on behalf of my name via WhatsApp She is using my Photo as hisher WhatsApp DP She is making an excuse that some members of my family have met with an tragic accident so She needs money for their treatment 
Please take the needful action so that this fraudster will not do such fraud in future"
Online Financial Fraud,UPI Related Frauds,I published advertisement for sofa on olx A person called me and said he wanted to buy this sofa He shared a QR code in WhatsApp and asked me to scan it to receive money and my  rs got debited Then he said to get refund I need to scan another QR code of  twice to get my money back I scanned and  amount of got debited twice Then this person said he is unable to process it and I need to keep scanning QR code to receive money I suspected fraud and asked him to refund my money he started abusing me
Online Financial Fraud,DebitCredit Card FraudSim Swap Fraud,Google pr credit card band karvane ke liye customer care ke no search kiye or vha se call Kiya to usne credit card band karne or refund vaps dene ke liye kha par usne froud kiya    y vo no h jo Google pr search ke baad aaya tha or mere account se   nikal liye gye
Online Financial Fraud,UPI Related Frauds,dear sir i have got a call  about money regarding in which i am asked to click a link on my paytm account   I was told that  rupees were to be send in my account then i clicked on the link given and enter my UPI pin  after that sum of  rupees was deducted from my account i asked the person about this he told that i am ur known but also doing some foolish talks i called him and talk to him then he just make fool of me actually the money was of a poor man who worked as a chef in my pg he has got the salary in my account and the phone came to him then he asked me to do transaction
Online Financial Fraud,DebitCredit Card FraudSim Swap Fraud,Received a call from  as a third party vendor of Axis Bank to deactivate Anti theft service on my credit card Few minutes later received another call from  as a Axis bank agent to share credit card details to stop this service and later my money of  INR was deducted from my credit card
Online Financial Fraud,DebitCredit Card FraudSim Swap Fraud,"I did not receive any call OTP spam message link only I got the message from bank side After that I blocked my ATM card and visit to the bank where my account They told me that you have to go cyber crime branch for lodgue the FIR
Please resolve my query as soon as possibleIf you need any other additional information please call me
Thank you"
Online Financial Fraud,DebitCredit Card FraudSim Swap Fraud,Unauthorised transfering amount in Bank account without any otp sharing with anyone but amount will be transfer from my bank account by sbi account no  it will be occur this transaction by unauthorised
Online Financial Fraud,UPI Related Frauds,"FRAUD THROUGH  upi fraud PHONEPE
BANK  STATE BANK OF INDIA
ACCOUNT NUMBER  
TOTAL AMOUNT 	
PLEASE HOLD REVERSE TOTAL AMOUNT IN THE 
COMPLAINT  ACCOUNT AND TAKE NECESSARY ACTION"
Sexually Explicit Act,,"this incident took place at  pm when one of my family member told me  
that some random facebook id fake account wihout  any post or profile or any other information given  has share my photo by editing with a random person and sharing it as video formate to all my family and friends without knowning me 
as i belong to a very respectful family  this incident is directly tiggering my social and society image of mine"
Online and Social Media Related Crime,Cheating by Impersonation,Sir I checked personal loan app I download Koko loan app he take all my permission contact list from phone Nd Aadhaar card Number  Nd pan DMGPk  E he credit my account  I not say to send me now  day later WhatsApp me say U pay otherwise I share ur pic ur contact list Nd WhatsApp now he do last day  Feb he sent my pic on my contact list Nd write rapist Nd fraud he irritated me I block her number but new new number he use Nd send message  please help sir only I say if my govt ID Aadhaar Nd pan he use other crime I m not libele pls report that  I sent U that number that he WhatsApp me Nd my contact list that I      that number he use to send WhatsApp message to my contact list  yes that my mistake I checked there with my permission but now he use for irritated me I no say to final transfer account payment I checked with all details if you say to permission pay him I pay but last day tell that one friend if U pay with palenty  he not left u allways irritated me Nd also make more money  Please U check that Nd take action tnx
Online Financial Fraud,UPI Related Frauds,"Number related to this fraud is  
One upi id is cryptocoinnybl
Instagram id is shahnaaz
Name on goggle pay is md tipu sultan
And other is md taushif they use hdfc bank for fraud"
Hacking  Damage to computercomputer system etc,Email Hacking,"Yesterday night i received an email that all my data is hacked and if i do not pay usd in bitcoin in next  hours my all data will be published including any type of voice msgs videos and pictures

I request to please take action soon as i do jot know what type of messages or recordings they have My wife and sons mobile are also hacked as they are getting messages of data used on daily basis same was received by me few days back

My email hacked is sunnyoberoitelcom"
Hacking  Damage to computercomputer system etc,Unauthorised AccessData Breach,                                             
Online and Social Media Related Crime,Cyber Bullying  Stalking  Sexting,His name is Sharad Chandawat and he is from udaipur he is using other people identify and doing sexting and taking their contact information and hacking their insta ids and blackmailing he blackmailed me even but i lured him with money and sympathy to get his whole information he told me his having  contact number of girls in his contact list and he is doing this from  years i told him to delete all those contacts but i sure he was blackmailing me but somehow i managed n lured him again he is accessing these ids from last  years i told him i fired a case over him he did sexting with me by pretending someone else he told me he lives in Udaipur district of Rajasthan n this information is correct fully and i can clearly identify him and his actual id but he blocked me on insta and all of my followers so i am unable to provide his pic but can help in making his sketch
Online Financial Fraud,UPI Related Frauds,maine inko do bar m    rupay dale  mujhe mr rohit ne leptop dene ka vada kiya tha  jab maine inse mera order ki puchi tab isne or  mange tab maine mana kar diya  tab usne mujhe gali galoch karke telegram se block kar diya  mujhse rohit ne paise liye or ab na order de rha h or na hi paise  please aap meri help karo
Online Financial Fraud,DebitCredit Card FraudSim Swap Fraud,I PARMESH KUMAR MY ACCOUNT NO  BRANCH DELHI JASOLA VIHAR IFSC CODE KKBK BRANCH ADDRES NO  POCKET  BEHIND APOLLO HOSPITAL JASOLA NEW DELHI  MY FRAUD TRANJECTION DETAIL ATWMAIN MATHURA ROAD DELHI DLIN MY ATM MY HAND WITHOUT  ANY OTHER HANDOVER ATM MY ACCOUNT FRAUD TRANJECTION  AMOUNT
Sexually Obscene material,,"Some girl called me with  on whatsapp video call I picked and she has some pornography going on so i was looking strangly that who is she and why shes doing it suddenly and within few seconds she cut the call  
Then in the morning i got a message from the same no about the video has been published to fb insta and YouTube She asked for  ransom to delete the video She gave  this no To send the amount on  
I didnt pay anything to her and block her from everywhere as it was a croped video But Im scared as it look the same Please help me to get that video dowm from the internet She had not called me since i told her that Ill not pay anything and complaint against her at cyber cell 
I need justice before its too late"
Online Financial Fraud,DebitCredit Card FraudSim Swap Fraud,"
FRAUD THROUGH  UPI Fraud PHONE PE 
BANK  UNION BANK OF INDIA


ACCOUNT NUMBER
TOTAL AMOUNT 


PLEASE HOLD  REVERSE TOTAL AMOUNT IN THE COMPLAINT ACCOUNT AND TAKE NECESSARY ACTION "
Online Financial Fraud,Internet Banking Related Fraud,A fraud involving swindling of money amounting to INR  by a person who claimed to be from the Indian Army and involved INR  transactions and assuring that the amount would be credited back with double the amount
Online and Social Media Related Crime,Cyber Bullying  Stalking  Sexting,defaming my company by asking friends for negative review on googleshe was employed by my company as an architect  But when she joined we did not find her work good enough to  match the level of an architect So within  days of her joining we had informed her that we will not be able to pay her the k  we had decided to pay as her work is not up to the  mark And we would be able topay her k like we pay our interns till she picks up work and we can review her work in  months time and increase her salary to as promised We gave her an option to either stay and learn for k or leave  She continued to work so we thought she was interested in learning  But when we paid her k she decided to leave  She was demanding k from me  I said i cannot pay as i have not earned anythign from her work and i would pay k as promised in the first ten days so she decided to leave and then made her friends do a negative review marking on google site Please review our customers reviews and then the reviews made by her and her friends We are in the market for   yrs and we have a name in the market Such reviews are not good for the growth of the company pls review and do the needful
Any Other Cyber Crime,Other,   this person called me  he said you won a prize money  of  amount  And then he asked my account number  adhaar number Then said sent  for registration fees I pay to him by  instalment by google pay  phone pay
Online Financial Fraud,DebitCredit Card FraudSim Swap Fraud,financial fraud 
Online Financial Fraud,UPI Related Frauds,"Online Frauds   Advertisement Portal Fraud  eCommerce platform  OLX
Victim placed a sofa in OLX  A fraudster ordered it for  They sent victim one QR code and asked to scan it He scanned and I lost my money from his account"
Online Financial Fraud,UPI Related Frauds,"FRAUD THROUGH UPIPHONEPE
BANK 	PUNJAB NATIONAL BANK
ACCOUNT NUMBER  
TOTAL  AMOUNT   
PLEASE HOLD REVERSE TOTAL AMOUNT IN THE COMPLAINANTS  ACCOUNT AND TAKE NECESSARY ACTION
"
Hacking  Damage to computercomputer system etc,Unauthorised AccessData Breach,I have received  a loan of  Inr on  and it will be returned on  rs  inr but loan provider misbehaving with me He calling to my family member and misbehaving with him And he send unliggle msg about me
Cyber Attack/ Dependent Crimes,Tampering with computer source documents,"This all happened a few days after I accidentally clicked on a strange link on social media. I didnâ€™t think much of it until things started going wrong. The next thing I knew, people were calling me asking if I had sent them strange messages, and I hadnâ€™t touched my phone all day. Looking back, maybe I should have paid more attention to the little details, but now it's too late. My accounts are compromised. The more I tried to fix it, the more problems came up. My email was hackd, and then I got locked out of everything. I feel so helpless, like thereâ€™s nothing I can do to fix this. No matter how many times I change my password, itâ€™s like someoneâ€™s always one step ahead. Even my tablet isnâ€™t working right anymore. Itâ€™s so stange how everything just fell apart after that one email."
Online Financial Fraud,Fraud CallVishing,A person name Akash was selling youtube channel from social media and i contect him via whatsup no given by him Youtube channel price was  and i trasfer money from my two bank account amount   but he did not give me youtube channel Also he blocked me i contect him with another whatsup no but again blocked me He blocked me from every where i transfer the money from upi mobile no  but also he blocked me please help
Online and Social Media Related Crime,Cyber Bullying  Stalking  Sexting,"Done a video call from whatsapp number    with nudity which i have discarded the call but before that they recorded the screen and blackmailed me saying that they will send to my facebook friends and they sent it to some of my friends
As i have blocked from whatsapp no messages are available"
Online Financial Fraud,UPI Related Frauds,"FRAUD THROUGHUPI FRAUD
BANKSTATE BANK OF INDIA
ACCOUNT NUMBER
TOTAL AMOUNT 
PLEASE HOLDREVERSE TOTAL AMOUNT IN THE COMPLAINANT ACCOUNT AND TAKE NECESSARY ACTION"
Online Financial Fraud,Internet Banking Related Fraud,Fraudulent transaction A message popped up asking for PAN update while using Yono lite app and once we provided the information it seemed like a phishing attempt and account got deducted with  immediately
Online Financial Fraud,UPI Related Frauds,"i have been frauded by the above mentioned site They provided some kind of project and later they asked for the goggle upi id first and told that they were unable to pay  asked my to pay some  dollar that would be refundable 
total they took dollar as mentioned above along with the transaction id Try to get back that amount asap Thanks in advance"
RapeGang Rape RGRSexually Abusive Content,,"I am warisha firoz Ro  chandni mahal delhiI am wife of Kaamran hasan rizvi Ro  gali sushila turkman gate delhiI am under the process of separation with my husband and he is defaming me by texting my friend and family over Instagram and sms and harrassing me and my baby boy He clearly states that  bchche ko to m cheen lunga also he is putting false allegation on me I and my baby is feeling unsafe on behalf of this please take some strict action for him

Ill be very thankful to you"
Online Financial Fraud,UPI Related Frauds,In the name of trading they have done the frand sir by taking money  in the name of trading they r taking money sir they r telling you have profit more by trading and the amount you wil get has to be paid fee in the name of fee they are taking more money n frand if people sit plz report this account n the upi id and help us out
Online Financial Fraud,DebitCredit Card FraudSim Swap Fraud,"FRAUD THROUGHDEBIT CARD ATM
BANK STATE BANK OF INDIA
ACCOUNT NUMBER 
TOTAL AMOUNT 
PLEASE HOLD REVERSE TOTAL AMOUNT IN THE COMPLAINT ACCOUNT AND TAKE NECESSARY ACTION
 they told me to install anydeskthen ask me for anydesk id
once i have shared then they told me to do the text message on self no where i have to enter my ATM card numberCVV details and ATM pin 
once i have done then amount start to deduct from my account"
Online Financial Fraud,EWallet Related Fraud,"Dear Sir  Madam
Maine yah Loan Bajaj Se aaj Tak nahi Liya leking Mere Pan card pe yah loan Show ho raha or bajaj ko maine complen bhi hooo leking koi responce nahi mila bataya gay ki aap account close kar 

upper se bajaj balo ne mere ghar pe aadmi bheja basooli ke liye jiss bajaj ko pata hona chahiye ki mera jo account money ddebit hota so or ye loan hai so dono disrent hai phir mere ghar pe bhej ke dhamki di hai 

maine bajaj me customer care or employ ko bhi complen kiya leking koi sunbai nahi hai 

please aap mere samasya door karenge"
Any Other Cyber Crime,Other,"          FIR     

     SO                                                  

                   

                    FIR      

                      

                             

                                       

                                                      

           "
Online Financial Fraud,UPI Related Frauds,"FRAUD THROUGHPHONE PE
BANK INDUSLND BANK 
ACCOUNT  NUMBER
TOTAL AMOUNT 
PLEASE HOLD REVERSE TOTAL AMOUNT IN THE COMPLAINT ACCOUNT AND TAKE NECESSARY ACTION"
Online Financial Fraud,DebitCredit Card FraudSim Swap Fraud,Fraud was done by calling the applicant from toll free number  by taking credit card information and  RS transferred from my SBI credit card account to MEMO DBHousingcom account Please take action immediately and refund my deducted amount
Cyber Attack/ Dependent Crimes,SQL Injection,"My friend mentioned something like this happened to them a few months ago, but I thought it was a one-off. Then, suddenly, I got this weird notification asking me to update my password, but the message didnâ€™t look like the usual ones I receive from the app. It looked a bit off. Honestly, itâ€™s such a mess, and I donâ€™t even know where to start. Iâ€™ve contacted support, but they keep giving me the runaround. The more I tried to fix it, the more problems came up. My bank account was stange, and then I got locked out of everything. I donâ€™t think Iâ€™ve ever felt this violated before. My privacy is completely shattered, and I canâ€™t do anything to make it stop. Even my laptop isnâ€™t working right anymore. Itâ€™s so stange how everything just fell apart after that one email."
Any Other Cyber Crime,Other,"Hello Sir
I have attached screenshot of this person Anguraj from Andhra Pradesh who contacted me on Telegram about the services of Trading account handeling and he later contacted me on whatsap and sent his service plan which I accepted but not started services after two weeks I accepted his proposal and I allowed him to trade from my Angle trading account and as he said I deposited  Rs and next day he loss all my  Rs and later he blocked me on whatsapp Google pay and he is still not receiving my calls as he promised he is not giving my loss money now please help I have attached all proofs of his promised services and his Telegram channel also"
Online Financial Fraud,EWallet Related Fraud,"SUCHNA KARTA NE BTAYA KI JANKAR BANKR FRAUD KR LIYA GYAFRAUDER NO 

SUCHNA KARTA KA NO SBI BANK AC  IFSC SBIN 

FRAUD BYE PHONE PAY TOTAL FRAUD AMOUNT  RUPEEY 

 TRANSACTION ID TUTR  DATE TIME PM FRAUD AMOUNT  RUPEEY 

 TRANSACTION ID T UTR  DATE  TIME PM FRAUD AMOUNT  RUPEEY 

 TRANSACTION ID T UTR  DATE TIME PM FRAUD AMOUNT  RUPEEY 

 TRANSACTION "
Cyber Attack/ Dependent Crimes,Data Breach/Theft,"The issue actually started when I got this email, which at first glance seemed like spam. I usually ignore such things, but for some reason, I opened it this time. Afterward, my phone started freezing, and it wasnâ€™t normal. I thought it was a technical glitch, but now Iâ€™m not so sure. Itâ€™s hard to explain, but it felt like someone was inside my account, doing things while I wasnâ€™t even online. The more I tried to fix it, the more problems came up. My social media was frezzing, and then I got locked out of everything. The worst part is, I donâ€™t even know who to trust anymore. Friends, family, everyoneâ€™s acting strange. Itâ€™s affecting my relationships and my mental health. Even my phone isnâ€™t working right anymore. Itâ€™s so stange how everything just fell apart after that one email."
Online Financial Fraud,DebitCredit Card FraudSim Swap Fraud,FRUAD TRANSACTION BY UPDATION CREDIT CARD 
Online and Social Media Related Crime,Cyber Bullying  Stalking  Sexting,"someone on a dating site sent me a contact number and started talking later they started video calling and intimidated me and they were duping and recording the screen they are blackmailing me now using the video which has my face and asking me to send money they used whatsapp number  for video call and for harassment  they are telling if i dont send moeny they will upload my perosnal pictures and videos they had access to my facefood profile and friends from where they are black mailing i blocked my facebook and reported the person who was blackmailing me on facebook please look into this matter
i had no intentions to cause any harm or anything but the other person is scamming people by morphing and creating wrong content and blacmailing for money
please help TS police and block the persons number and permanently ban the fb id of the person
please help never entertaining any unknown people on social media again
thankyou TS Police"
Online and Social Media Related Crime,FakeImpersonating Profile,"I am living in Chennai for past six years I am not using my face book account for past few years yesterday  Friday around  PM someone hacked my face book account and created a fake account in my ID as name SRIDHAR DURAIRAJ he misused my photos name and given friend request to my friends he messaged my friends as one of my friend is in hospital and he demanded money urgently he shared his account details and they send the amount to that particular account after that they came to know that they are cheated by someone through online please verify attached screen shot for your reference
My Face book account Name SRIDHAR DURAIRAJ
My friends Face book account details below
	Gayathri Gayu Rs 
	VTM Vignesh  Rs  
	Vinayak Jadhav  Rs 
Today morning my friend received friend request from that fake ID till not that account is in active I request you to please block that fake account immediately and please make necessary action against that online cheating scam team immediately please take my request and register a complaint against him and kindly share the complaint number ASAP awaiting for your valuable confirmation"
Any Other Cyber Crime,Other,I purchased a product through Instagram from metelohome is their instagram id and paid an amount of Rs They said the product could not be delivered and the amount will be refunded but i have not heard from them since They are not taking my calls or replying my messages ever since
Online Financial Fraud,DebitCredit Card FraudSim Swap Fraud,"name  jabar  district  jodhpur  ps dechu  pincode   suchnakrta ke ac no   sbi bank  
froder ke no      
frod by direct ac  total amount  rs 
 
am  rs  id  
am  rs  id  
suchnakrta ne btaya ki unke pass call aaya or unke pass ek app  any desk  downlode kra ke pese kaat liye gye h 
"
Cyber Attack/ Dependent Crimes,Denial of Service (DoS)/Distributed Denial of Service (DDOS) attacks,"I never imagined something like this could happen to me, especially since I'm so cautious. But then I started noticing that my online activity felt different, slower even. I can't even describe it well because everything seemed normal, except for the fact that I was constantly getting logged out of my accounts. Looking back, maybe I should have paid more attention to the little details, but now it's too late. My accounts are compromised. The more I tried to fix it, the more problems came up. My email was frezzing, and then I got locked out of everything. I feel so helpless, like thereâ€™s nothing I can do to fix this. No matter how many times I change my password, itâ€™s like someoneâ€™s always one step ahead. Even my tablet isnâ€™t working right anymore. Itâ€™s so stange how everything just fell apart after that one email."
Online Financial Fraud,EWallet Related Fraud,"Citizen Details  
NAME  NISHA  MOBILE NO   DIST NAGORE  PS KOTWALI  PINCODE     BANK  UNINON BANK  AC NO    BRANCH  NAGORE   Citizen Ke sath  Total Fraud Amount   Rs  DATE   
Fraud By  Phone Pay No 

Transction id  T  UTR     Amount  Rs TIME   PM
Frauder Details  Suchna karta ne bataya ki unke pass se phone pay per gift vocher ka message aaya or us per click karte hi paise cut gaye"
Online Financial Fraud,UPI Related Frauds,First of all i got a call from unknown number he told me that i am your friend and i have asked a man to send you  i have problem in my account The very next day i got another call from another number he asked to me to call on whatsapp after getting on whatsapp call he asked me for  payment and he told me to check balance i have checked the balance and  more had been added to my account as he had send  from another account After this he asked me to do the same with certain sum of money which was getting failed each time lAt last he asked me  payment which i have done after that the amount had been deducted from my account
Online Financial Fraud,UPI Related Frauds,Financial Fraud  This person calls himself an army person and telling he is working at Ahmedabad Airport he is still receiving calls and his number is  he sent me a barcode on google and my money was deducted twice   and 
Any Other Cyber Crime,Other,Sar Mere Sath WhatsApp per Baat kiya tha   bar call kiya tha usne vah bola tha Mujhse Main kapde ka business karta hun aapko Kapda chahie main aapko bahut saste price Mein Kapda De sakta hun fir usne mujhe WhatsApp per Kapda ka photo send kiya tha photo send kiya tha FIR usne  apna phone pay number diya  FIR vah Mujhse Bola la Main aapko bahut jaldi d delivery kar dunga aap bhi  rupaye mera phone pay  Mein Dal dijiye FIR main Sar apna phone per se   rupaye uska phone pay me Maine  rupees Dal Diya  Uske bad usne mera WhatsApp per ek photo bheja loading ka kya aapka Mal load ho raha hai fir usne  hajar rupaye mere se Mange FIR main transfer kar diya FIR Uske bad Mein bola aapka Mal railway station per pahunch chuka hai Guntakal station fir usne Mujhse  rupaye aur Mange FIR main Das hajar rupaye uska phone pay  mein transfer kar  diya Gaya FIR Uske bad maine bola railway station Parcel Office bilty bhej dijiye mera WhatsApp per fir usne bola  hajar rupaye aur dijiye tab aapko bilty bhejunga FIR Mujhe Maloom Pada yah Banda fruad hai FIR main Apna Paisa wapasi Manga  usne mana kar diya
Online and Social Media Related Crime,Cheating by Impersonation,LAST  I SAW A STORY  WHICH IS A ADULT PHOTO IN MY FB ACCOUNT WHICH IS NOT PUBLISHED BY ME SO FB WANT FOR  VERIFICATION BUT I DONT RECEIVED  ANY CODE IN MY MOBILE I WAS TRYING MANY TIME THEN LAST NIGHT I HAVE CHANGE MY FB PASSWORD BUT UNTIL I CANT RECEIVED ANY CODE THIS ID INCLUDING MY BGMI MOBILE GAME ALSO MY BGMI ID IS BE HACKED I INVEST MANY MONEY ON THIS GAMING ID WHICH WILL BE LINKED MY FB ID I THINK THIS  ID WAS HACKED SO I REQUESTED TO YOU PLEASE RECOVERY  FB AND BGMI GAMING ID
Any Other Cyber Crime,Other,                                                              
Online Financial Fraud,UPI Related Frauds,Fraudster got my number from acer and shared his details as Anil kumar Shared his PAN aadhar card and army canteen card He deposited  rs for trail and later deducted  from my account using  transactions He promised to refund and collected my pan and aadhar card to deposit the money  After  minutes his phone whatsapp all got switched off As per bank account is owned by Navdeep Singh He asked me to make bank payment in google pay of  rs and i could see  rs credited in my account Later he asked me to pay  using same way but this time money got deducted He asked me to make nd transaction saying first transaction failed This way  times money got deducted from my account
Online and Social Media Related Crime,Impersonating Email,I got mail from cyberindprotonmailcom like case filed against me you should come at cyber crime branch im not sure wheather is real or fakeso i checked officiall cyber crime mail id but it dosent match
Cyber Attack/ Dependent Crimes,Malware Attack,"My friend mentioned something like this happened to them a few months ago, but I thought it was a one-off. Then, suddenly, I got this weird notification asking me to update my password, but the message didnâ€™t look like the usual ones I receive from the app. It looked a bit off. Looking back, maybe I should have paid more attention to the little details, but now it's too late. My accounts are compromised. The more I tried to fix it, the more problems came up. My bank account was stange, and then I got locked out of everything. This has really left me anxious and frustrated, I canâ€™t sleep knowing my information is out there. Iâ€™ve even considered deleting all my accounts, but thatâ€™s not a solution. Even my tablet isnâ€™t working right anymore. Itâ€™s so stange how everything just fell apart after that one email."
Online Financial Fraud,UPI Related Frauds,i get a call through online he tlod that you get good intersest get investing in the online account and he conviced to  me and he send link and to that just accept the link though phone pay and i accpeted immedietly i loos money tow times
Any Other Cyber Crime,Other,"I applied for loan in LOAN HOME APPLICATION in Play Store but today that application is not working in Play Store I want to pay if that application in Play Store
They sending msgs with abusive words and ask to  pay to personal links
httpspagepocketmallxyzinstallhtml
httpsupibestpayjkz
Take action those links  and application also"
Online Financial Fraud,EWallet Related Fraud,I watch add on YouTube app go to link and book the bycycle and now I never get any details that order prepaid accept due to COVID I make payment and now no one pic the call call was swtich off it looks like fake app please help to refund  my money cotact no of dealer was which is off now is  I call this no and phone was switched off
Online Financial Fraud,Internet Banking Related Fraud,The victim recieved a message from unknown resource containing a link and  he opened the link after days when he checked for bank balance  and saw that unauthorised transaction of  and  has happened in his account and lost  in total Hence requested to take necessary action
Online Financial Fraud,UPI Related Frauds,I attached my all details of my above fraud Please take necessary action and do needful action Above fraud person asking again more money Please retrieve my above transaction Because above person asking more money
Online Financial Fraud,Fraud CallVishing,I had received a call from a consultancy company called Careerprofile and they said that they will provide jobs They asked me to register on their platform and subscribe to the services After making the payment I got to know that it is a fake company and their numbers are also not working now
Online Financial Fraud,DebitCredit Card FraudSim Swap Fraud,I got trapped on a fraud call that I received on th Dec  at around pm IST Call was from  and caller claimed from ICICI CC department He asked me details for CC number and expiry date for converting the tobe expired bonus points into cash Do not know how I fall in that trap and unfortunately shared OTP as well which resulted a loss of  INR from my account Then he asked me again to share another OTP for another transaction to revert the debited amount Then I got alerted and cut the call and immediately called the ICICI bank dispute team to raise a complain and blocked the CC Against that complaint yesterday I got a response from ICICI bank that nothing can be refunded as transaction is already done They asked me to raise this complain with cyber crime hence raising it now on this forum
Online Financial Fraud,UPI Related Frauds,Online fraudtwo guys messaged me through different numbers and taken my money for an amount of rs  with four transactions they are cheating and they dont even fear alsokindly trace this guys and punish them
Online Financial Fraud,UPI Related Frauds,"I got a call on th jan  morning from pe spam i cut the call but it pinged me again and again and requested me to pay amount i disagreed but the spammer said its a reward update and money will be transfered to my account after i proceed my money got debited and didnt credited back  again he said to pay but i disagreed he said the total money will be credited as i did i got money back but not all the money   so he said to do pay again but after that i didnt get any money instead my money got debited  in total i lost my  rs  
i made mistake of accepting the call am unaware of fraud And am waiting to get refund"
Any Other Cyber Crime,Other,I took loan from forpay loan application in Google Play Store the amount is  and they credited  into my account i delayed  days and they are asking me to pay  now if not they are threatening like we will send porn videos to your contacts and we will call abuse them please help no only this app there are several apps are there threatening people like this
Cyber Attack/ Dependent Crimes,Hacking/Defacement,"This all happened a few days after I accidentally clicked on a strange link on social media. I didnâ€™t think much of it until things started going wrong. The next thing I knew, people were calling me asking if I had sent them strange messages, and I hadnâ€™t touched my phone all day. Itâ€™s hard to explain, but it felt like someone was inside my account, doing things while I wasnâ€™t even online. The more I tried to fix it, the more problems came up. My social media was notifiction, and then I got locked out of everything. The worst part is, I donâ€™t even know who to trust anymore. Friends, family, everyoneâ€™s acting strange. Itâ€™s affecting my relationships and my mental health. Even my tablet isnâ€™t working right anymore. Itâ€™s so stange how everything just fell apart after that one email."
Online and Social Media Related Crime,Cyber Bullying  Stalking  Sexting,"this person is radika ca sharma has befriended whith me on facebook and requested my whatsaap number
 i have shared my number considering that she might be someone i know however he turned out to be a online criminal and started sharing incriminating materials on my whatsaap And later start blackmailing me tht he will share my pictures on facebook hence i am registring the complaint for due legal action under it law He send me this blackmailing process on whatsaap voicecalling and messanger Radika CA Sharma"
Online and Social Media Related Crime,FakeImpersonating Profile,"Mr Buddhaditya Banerjee Acting as a coal dealer Finalised the deal of Jharkhand coal with MePrateek MrigwaniHe told that he will dispatch the goods once the amount is received I did the advance of rs from my Saving account and  from my Firm current account But at the last he didnt supplied the coal and he is not refunding my amount of  I have his recordings and various proofs which states his fraudHis account number is 
Buddhaditya banerjee 
Bank of India
Account number 
IfscBKID
Bagha Jatin branch kolkata"
Online Financial Fraud,UPI Related Frauds,I lost my money Plz help me Google chorme advertisement schrach this coupon and unlimited cashback send to your bnak account  I am screach thish coupon and cash back rs  in two time but I can not received this money in my account
Online Financial Fraud,DebitCredit Card FraudSim Swap Fraud,"FRAUD THROUGH   DEBIT CARD 
BANK  State Bank of India
ACCOUNT NUMBER   
TOTAL AMOUNT   
PLEASE HOLD REVERSE TOTAL AMOUNT IN THE COMPLAINT ACCOUNT AND TAKE NECESSARY ACTION
fraud mobile no and second no"
Online and Social Media Related Crime,Cyber Bullying  Stalking  Sexting,Someone attached my profile pictures with adult video and is sending the same to my contacts on Facebook and demanding money to save himself from this crime I have blocked him everywhere but he has sent the video to many fb contacts
Online Financial Fraud,DebitCredit Card FraudSim Swap Fraud,USNE MUJHE CALL KIYA AUR KAHA KI MERE PAPA NE BOLA HAI USEY PAISE DALNE KO MUJHE LAGA KAHA HOGA THEN MERE MEI USNE PHONEPAY WALLET PE PAISE DALE AUR PHIR USNE BOLA KI ISEY APNE ACCOUNT MEI DALDO MAINE DAAL DIYA PHIR MAINE  MIN BAAD CHECK KIYA TOH MERE ACCOUNT SE  RS DEBIT HO CHUKE THE
Online Gambling  Betting,Online Gambling  Betting,They will massage me on whatsapp and ask to repay loan amount but i dont take any loan they said that i have your aadhar card and pan card and threatened me to send your aadhar card and pan card details to the third party i already paid  to that application
Online and Social Media Related Crime,Profile Hacking Identity Theft,I tried on redeam something  There i gave my no But after that my Facebook  Instagram got banned because of unusual sharing then now my WhatsApp is too banned  Also i got mail that my account is login by someone else but i was busy i could not check and after my id got banned it is because of game  bgmi  someone stolen my id also
Online Financial Fraud,DebitCredit Card FraudSim Swap Fraud,"I received call from perfect avenue on th Jan  related to offering discount card on axis credit card Then finally they asked to pay the price of this offer for  I did the payment and I received a welcome kit as well Then on  January  As  rupees were debited from the credit card  transactions were made for every  rupees But one of them was a rejected transaction
Kindly investigate this fraud call and humble request to help me"
Online Financial Fraud,UPI Related Frauds,"FRAUD THROUGH   PHONE PE
BANK  STATE BANK OF INDIA
ACCOUNT NUMBER  
TOTAL AMOUNT  
PLEASE HOLD REVERSE TOTAL AMOUNT IN THE COMPLAINT ACCOUNT AND TAKE NECESSARY ACTION





"
Sexually Explicit Act,,"Yestarday i was received a message of transaction Rs  but it was not done by me through any electronic or phone media
this transaction was made by other people those are used my banking account
please reprocess the transaction and credit my account"
Online Financial Fraud,DebitCredit Card FraudSim Swap Fraud,"Identity theft   Fake Customer Care Service Fraud   Google
victim dialed to a credit card Customer care number to solve the issue with his card The fraudster asked the victim to install Anydesk app and asked him to tell his card details and Pin number then the fraudster lured money from victims debit card no    
"
